"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034976","response to endoplasmic reticulum stress","29/821","288/18860",0.100694444444444,2.3131513059954,4.79078141209355,2.4971222793608e-05,0.000951323036104873,0.000822481701521214,"HSPA1A/PPP1R15A/DDIT3/ATF4/SELENOK/HSPA5/RACK1/BBC3/SERP1/HERPUD1/DDX3X/DNAJB9/CREBRF/PMAIP1/UFC1/COPS5/TARDBP/PSMC6/RHBDD2/NRBF2/JUN/EIF2S1/SIRT1/CCDC47/PPP1R15B/SELENOS/DERL2/GET4/EIF2B5",29
"GO:2001234","negative regulation of apoptotic signaling pathway","26/821","245/18860",0.106122448979592,2.43784334683934,4.8326770481224,2.64003338248413e-05,0.000997721415908401,0.00086259617044534,"HSPA1A/DNAJA1/HSPA1B/HSPB1/LMNA/TPT1/SLC25A5/ATF4/RACK1/IER3/SOD2/YBX3/TNFAIP3/HERPUD1/TNF/DDX3X/PPIA/NR4A2/CDKN2D/TMBIM1/TAF9/PSMD10/TRIAP1/SIRT1/SELENOS/RRN3",26
"GO:0046634","regulation of alpha-beta T cell activation","17/821","124/18860",0.137096774193548,3.14938509292366,5.12284617909477,2.67670787508882e-05,0.00100355301602536,0.000867637974548421,"HSPH1/ANXA1/BRD2/SMAD7/PNP/ZC3H12A/ARG2/CD83/RARA/IRF1/CD69/IRF4/NFKBID/CD81/IL23A/BATF/GATA3",17
"GO:0032922","circadian regulation of gene expression","12/821","67/18860",0.17910447761194,4.11438544185285,5.44799103962101,2.81993585383612e-05,0.00104892732074975,0.000906867062816754,"RELB/ATF4/RBM4/AHR/PER1/TOP1/PPP1CC/EGR1/HDAC2/SIRT1/PRMT5/BHLHE40",12
"GO:0031397","negative regulation of protein ubiquitination","13/821","78/18860",0.166666666666667,3.82866423061307,5.34050666576548,2.94051726466428e-05,0.00108523465299016,0.000938257153527746,"HSPA1A/DNAJA1/HSPA1B/SQSTM1/RPS7/RPL5/RPS3/RPL11/TNFAIP3/PPIA/CAMLG/ISG15/GTPBP4",13
"GO:0042771","intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","10/821","48/18860",0.208333333333333,4.78583028826634,5.60259145600157,3.35941157702823e-05,0.00123022172789778,0.00106360807171518,"RPL26/CDKN1A/BCL3/BBC3/DDIT4/HIPK1/TOPORS/TAF9/TRIAP1/SIRT1",10
"GO:0034599","cellular response to oxidative stress","27/821","264/18860",0.102272727272727,2.34940759605802,4.71042425669578,3.58534086316498e-05,0.00130285771058395,0.00112640668413604,"HSPA1A/HSPA1B/SOD1/KDM6B/RPS3/OSER1/ZC3H12A/ATF4/RACK1/PRDX1/ARL6IP5/SOD2/TNFAIP3/CHCHD2/PPIA/NR4A2/NET1/GCH1/EIF2S1/ATF2/TXN/HDAC2/EZH2/SIRT1/SELENOS/BNIP3/FOS",27
"GO:0006979","response to oxidative stress","37/821","418/18860",0.0885167464114833,2.03340540477536,4.55805477821599,3.63474192510952e-05,0.00131072678276468,0.00113321001763157,"HSPA1A/HSPA1B/SOD1/KDM6B/RPS3/OSER1/ZC3H12A/ATF4/SELENOK/BTG1/PLK3/RACK1/PRDX1/ARL6IP5/SOD2/TNFAIP3/PSMB5/GPX4/CHCHD2/PPIA/DUSP1/PRNP/PRDX6/NR4A2/NET1/GCH1/EIF2S1/ATF2/TXN/HDAC2/EZH2/SIRT1/PPP1R15B/SELENOS/BNIP3/CASP3/FOS",37
"GO:1900034","regulation of cellular response to heat","6/821","16/18860",0.375,8.61449451887941,6.50038682598674,3.67566382751902e-05,0.00131544211524241,0.00113728673451147,"DNAJB1/IER5/DNAJB6/CHORDC1/SIRT1/DNAJC2",6
"GO:0000381","regulation of alternative mRNA splicing, via spliceosome","12/821","69/18860",0.173913043478261,3.99512789281364,5.31728146961969,3.82727649528812e-05,0.0013563141068724,0.00117262327524954,"SRSF2/SAP18/RBM8A/RBM4/RBM14/SRSF7/MAGOH/WTAP/SRSF10/TRA2B/RBM7/PTBP1",12
"GO:0042542","response to hydrogen peroxide","15/821","103/18860",0.145631067961165,3.34543476461337,5.09195973476034,3.84729234379553e-05,0.0013563141068724,0.00117262327524954,"SOD1/KDM6B/RPS3/OSER1/SOD2/TNFAIP3/DUSP1/NET1/TXN/HDAC2/EZH2/SIRT1/PPP1R15B/BNIP3/CASP3",15
"GO:0009416","response to light stimulus","32/821","341/18860",0.093841642228739,2.15572883365897,4.59461421175227,3.95491105978356e-05,0.00138392591454945,0.0011964955097045,"TUBA1A/JUND/RPL26/UBE2B/ATF4/CDKN1A/SDE2/RBM4/UBE2A/BCL3/CRIP1/PNPLA2/NPM1/PER1/KRAS/DUSP1/CDKN2D/RPAIN/PPP1CC/MAP2K3/FBXL3/COPS3/EIF2S1/TRIAP1/NSMCE3/IFT20/SIRT1/PPID/CASP3/BHLHE40/SMPD1/FOS",32
"GO:0050657","nucleic acid transport","20/821","167/18860",0.119760479041916,2.75113597409323,4.84912391294748,4.0454846904846e-05,0.00138905733556143,0.00120093196264948,"ZFP36/MRPL18/EIF4A3/RAN/G3BP2/RBM8A/ZFP36L1/NXF1/NXT1/SRSF7/YBX1/MAGOH/ENY2/DDX39A/SLBP/RTRAF/ALYREF/FXR1/RAE1/ALKBH5",20
"GO:0050658","RNA transport","20/821","167/18860",0.119760479041916,2.75113597409323,4.84912391294748,4.0454846904846e-05,0.00138905733556143,0.00120093196264948,"ZFP36/MRPL18/EIF4A3/RAN/G3BP2/RBM8A/ZFP36L1/NXF1/NXT1/SRSF7/YBX1/MAGOH/ENY2/DDX39A/SLBP/RTRAF/ALYREF/FXR1/RAE1/ALKBH5",20
