"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type"
6.2940854860204e-103,1.15233876955177,0.317,0.163,1.58170368263693e-98,"SERTAD1","CD14 Mono"
4.28722498381008e-102,1.51788197709727,0.254,0.115,1.07737963843147e-97,"DDIT4","CD14 Mono"
4.31688590341596e-102,1.69680220872247,0.185,0.068,1.08483342752843e-97,"HCAR3","CD14 Mono"
4.40664005569748e-102,2.02833736828011,0.274,0.134,1.10738864599678e-97,"SEC22B","CD14 Mono"
4.82858435027811e-102,-0.567448531764772,0.661,0.805,1.21342324722489e-97,"TXNIP","CD14 Mono"
5.24975928028215e-100,1.31306669266348,0.357,0.199,1.3192645071349e-95,"SNHG8","CD14 Mono"
5.34711640195559e-100,-0.356802012650292,0.934,0.964,1.34373035181144e-95,"HLA-C","CD14 Mono"
3.22998435124116e-99,0.402493370765146,0.89,0.846,8.11695067466904e-95,"RPL35","CD14 Mono"
3.77181874825093e-99,-0.666353039753594,0.584,0.696,9.47858051435459e-95,"POU2F2","CD14 Mono"
4.37613436241876e-98,0.369826202230444,0.907,0.924,1.09972256527583e-93,"FCER1G","CD14 Mono"
5.37619690380275e-97,-0.5331485167985,0.685,0.761,1.35103828192563e-92,"MYO1F","CD14 Mono"
1.00430292074571e-94,1.11872227509189,0.619,0.457,2.52381323983396e-90,"HSPA8","CD14 Mono"
1.77676198665632e-94,1.03533019095457,0.466,0.294,4.46500287246734e-90,"WDR74","CD14 Mono"
1.96143271725177e-94,0.577470399962987,0.7,0.546,4.92908041845369e-90,"CARD16","CD14 Mono"
3.99347142098761e-91,1.56728278241085,0.299,0.156,1.00355936809419e-86,"MYLIP","CD14 Mono"
6.6428849688625e-91,0.305670257601944,0.91,0.928,1.66935699267515e-86,"RPS7","CD14 Mono"
6.29175564150761e-90,1.03863620304387,0.395,0.236,1.58111819271086e-85,"NR4A2","CD14 Mono"
8.46661868101638e-89,-0.630001651267988,0.611,0.701,2.12766127453942e-84,"TNFRSF1B","CD14 Mono"
1.17823380069878e-87,-0.34627371863507,0.907,0.937,2.96090154115602e-83,"HLA-A","CD14 Mono"
1.3679973227683e-87,2.06197342644637,0.166,0.063,3.43777727211673e-83,"GRASP","CD14 Mono"
1.55503929247112e-87,0.436183078661601,0.822,0.728,3.90781374197992e-83,"COX7C","CD14 Mono"
4.2079864600937e-85,0.908201299258831,0.394,0.233,1.05746699742155e-80,"ABHD5","CD14 Mono"
6.68197598149252e-85,-0.40021779071876,0.809,0.844,1.67918056414907e-80,"RPL13A","CD14 Mono"
8.41356450781182e-85,-0.476076588245898,0.762,0.831,2.11432876081311e-80,"LCP1","CD14 Mono"
5.05228607406014e-84,0.318438265797418,0.894,0.873,1.26963949041131e-79,"RPL24","CD14 Mono"
3.69198692862035e-83,0.278220208486143,0.932,0.942,9.27796315162294e-79,"RPL19","CD14 Mono"
2.00177508998774e-82,1.14585150377932,0.286,0.151,5.03046080113919e-78,"PLIN2","CD14 Mono"
4.06246260614259e-82,1.72475444758653,0.143,0.05,1.02089685292363e-77,"HCAR2","CD14 Mono"
1.88584318002127e-81,0.311528524936374,0.926,0.925,4.73912391139346e-77,"RPS3","CD14 Mono"
3.45533683983007e-81,0.694665789239478,0.454,0.29,8.68326147849297e-77,"CLEC4E","CD14 Mono"
8.52115089195012e-81,0.391852304302757,0.94,0.921,2.14136521914707e-76,"RPS18","CD14 Mono"
1.85704594972544e-80,-0.295242459003249,0.903,0.952,4.66675647166002e-76,"CFL1","CD14 Mono"
2.24887161648464e-80,-3.69842614472859,0.048,0.156,5.65141437222589e-76,"MTRNR2L8","CD14 Mono"
3.16782541012252e-79,-0.743632871240428,0.506,0.602,7.9607452556379e-75,"UCP2","CD14 Mono"
7.26256699249511e-79,2.05195155291782,0.14,0.05,1.82508308521402e-74,"ZBTB10","CD14 Mono"
1.78224165165894e-78,1.04987433298435,0.169,0.066,4.47877327061892e-74,"DDX3Y","CD14 Mono"
1.88286259087277e-78,0.56570137387601,0.627,0.465,4.73163369086326e-74,"ATP5MD","CD14 Mono"
3.68351121044274e-78,0.268495511165322,0.924,0.93,9.25666367184259e-74,"RPL29","CD14 Mono"
8.47341318060264e-78,1.93715885029921,0.147,0.055,2.12936873228544e-73,"PTX3","CD14 Mono"
8.53417413813644e-78,1.55923817705956,0.729,0.612,2.14463796091369e-73,"HSP90AA1","CD14 Mono"
3.00457823848302e-77,0.395311662145249,0.841,0.763,7.55050511330784e-73,"TMA7","CD14 Mono"
4.58174013635798e-77,0.257330367553993,0.902,0.916,1.15139129626676e-72,"NACA","CD14 Mono"
5.27144319245665e-77,0.389242536935022,0.837,0.753,1.32471367426436e-72,"RPL38","CD14 Mono"
1.13185484223652e-76,0.597640790762509,0.819,0.695,2.84435121854038e-72,"ATP2B1-AS1","CD14 Mono"
1.98097331937309e-76,0.60825965421576,0.677,0.545,4.97818595158458e-72,"HLA-DRB5","CD14 Mono"
2.9508561897781e-76,1.03234938203881,0.381,0.239,7.41550160491236e-72,"PPIF","CD14 Mono"
4.80451504138515e-75,-0.524447589570869,0.731,0.8,1.20737462990009e-70,"CEBPB","CD14 Mono"
3.5305175682452e-74,0.520559693291563,0.917,0.849,8.87219064900018e-70,"BTG1","CD14 Mono"
6.21982373326693e-74,1.1794334244146,0.257,0.135,1.56304170416998e-69,"PHACTR1","CD14 Mono"
2.13026047716612e-73,-0.473661449226783,0.295,0.438,5.35334457911847e-69,"AC004687.1","CD14 Mono"
5.67890852631891e-72,0.949090919303586,0.294,0.164,1.42710971266394e-67,"SAP30","CD14 Mono"
6.57645761078486e-72,0.272561560798076,0.904,0.89,1.65266379759024e-67,"RPL14","CD14 Mono"
8.59338308067828e-72,-0.380454581222713,0.859,0.918,2.15951716817445e-67,"SPI1","CD14 Mono"
1.7822354512687e-71,-0.500202853602752,0.672,0.735,4.47875768903825e-67,"GRB2","CD14 Mono"
8.99208697848649e-69,-0.728861273848524,0.413,0.533,2.25971145769366e-64,"DUSP6","CD14 Mono"
1.94878593822945e-68,-0.300841614276469,0.894,0.943,4.8972990627706e-64,"PSAP","CD14 Mono"
